rule,gamma_L,gamma_H,lambda_L,lambda_H,share_low_bpw,share_high_bpw,firms_L,firms_H,n_sectors_L,n_sectors_H,bpw_per_firm_L,bpw_per_firm_H,rel_bpw_per_firm_H
median_split,0.0072741378598617,0.0336721040971769,0.391382224859225,0.608617775140775,0.607723223116652,0.392276776883348,34961,54366,13,14,88049.7847364206,36548.6659831512,0.415090918081863
tercile_split,0.00681740081843992,0.0424388719213547,0.551536578732662,0.448463421267338,0.533943567563452,0.227251128706092,26364,21437,9,9,102586.536705356,53696.7936021831,0.523429246436192
quartile_split,0.00564852912979458,0.0441591932439711,0.448837479206159,0.551162520793841,0.314862139961158,0.203916849001596,11602,14247,6,6,137465.556360972,72499.6649919281,0.527402404727119
